Alpha,Exceedances,Queue_Count,Method
0.6500000000000001,212.44292476901182,1506,Original Network
0.6500000000000001,175.67776998211843,1506,Original Network
0.6500000000000001,178.76110558719282,1506,Original Network
0.6500000000000001,225.89548722157426,1506,Original Network
0.6500000000000001,188.5438051525011,1506,Original Network
0.6500000000000001,164.64291596900338,1506,Original Network
0.6500000000000001,187.57895616591298,1506,Original Network
0.6500000000000001,163.3351186829452,1506,Original Network
0.6500000000000001,153.3757151800636,1506,Original Network
0.6500000000000001,208.9153092413963,1506,Original Network
0.6500000000000001,164.1531567401137,1506,Original Network
0.6500000000000001,194.79474242517728,1506,Original Network
0.6500000000000001,194.97901484858016,1506,Original Network
0.6500000000000001,194.40203222811942,1506,Original Network
0.6500000000000001,178.90465023073762,1506,Original Network
0.6500000000000001,192.44686827295547,1506,Original Network
0.6500000000000001,166.3299264386227,1506,Original Network
0.6500000000000001,170.09908642517374,1506,Original Network
0.6500000000000001,187.94429474864276,1506,Original Network
0.6500000000000001,171.02028736811386,1506,Original Network
0.6500000000000001,228.55260611782379,1506,Original Network
0.6500000000000001,120.98974607670284,1506,Original Network
0.6500000000000001,166.74598081119854,1506,Original Network
0.6500000000000001,194.59531461705393,1506,Original Network
0.6500000000000001,195.63194345803043,1506,Original Network
0.6500000000000001,142.16322175017876,1506,Original Network
0.6500000000000001,193.2303337738125,1506,Original Network
0.6500000000000001,194.22912807695448,1506,Original Network
0.6500000000000001,133.9535180187357,1506,Original Network
0.7000000000000002,270.1869769913245,1506,Original Network
0.7000000000000002,264.23444658227254,1506,Original Network
0.7000000000000002,260.4849390718955,1506,Original Network
0.7000000000000002,243.3590205111945,1506,Original Network
0.7000000000000002,256.35820268428984,1506,Original Network
0.7000000000000002,237.01837862707455,1506,Original Network
0.7000000000000002,290.14279951236415,1506,Original Network
0.7000000000000002,284.6257564301039,1506,Original Network
0.7000000000000002,276.0006958702607,1506,Original Network
0.7000000000000002,263.09878918574566,1506,Original Network
0.7000000000000002,276.52751485360125,1506,Original Network
0.7000000000000002,225.39498719933505,1506,Original Network
0.7000000000000002,250.15526874222536,1506,Original Network
0.7000000000000002,238.6630522065306,1506,Original Network
0.7000000000000002,316.7995276690926,1506,Original Network
0.7000000000000002,275.7417563287124,1506,Original Network
0.7000000000000002,259.8944183074617,1506,Original Network
0.7000000000000002,244.75365810148438,1506,Original Network
0.7000000000000002,233.74525504960295,1506,Original Network
0.7000000000000002,272.6359967229528,1506,Original Network
0.7000000000000002,271.1113722418067,1506,Original Network
0.7000000000000002,320.5749837271575,1506,Original Network
0.7000000000000002,238.9892517935998,1506,Original Network
0.7000000000000002,295.54311741268236,1506,Original Network
0.7000000000000002,280.46668383624865,1506,Original Network
0.7000000000000002,248.55842392798917,1506,Original Network
0.7000000000000002,227.3168809038375,1506,Original Network
0.7000000000000002,279.0587931457492,1506,Original Network
0.7000000000000002,297.7971198623369,1506,Original Network
0.7000000000000002,255.02726711422386,1506,Original Network
0.7000000000000002,287.0529134007391,1506,Original Network
0.7000000000000002,258.69608380477945,1506,Original Network
0.7000000000000002,273.96252631035196,1506,Original Network
0.7000000000000002,229.7933961194833,1506,Original Network
0.7000000000000002,228.66379422901156,1506,Original Network
0.7000000000000002,268.8796637057503,1506,Original Network
0.7000000000000002,293.71852430548034,1506,Original Network
0.7000000000000002,272.6943345638993,1506,Original Network
0.7000000000000002,263.70000052608765,1506,Original Network
0.7000000000000002,276.8195376456242,1506,Original Network
0.7000000000000002,213.98887635844173,1506,Original Network
0.7000000000000002,274.4099247360113,1506,Original Network
0.7000000000000002,313.70203576725294,1506,Original Network
0.7000000000000002,275.83450818233393,1506,Original Network
0.7000000000000002,278.58275666971264,1506,Original Network
0.7000000000000002,294.4337115424069,1506,Original Network
0.7000000000000002,217.84137792833462,1506,Original Network
0.7000000000000002,285.4475935562887,1506,Original Network
0.7000000000000002,258.0052943531203,1506,Original Network
0.7000000000000002,330.9794888055758,1506,Original Network
0.7500000000000002,404.16083905214384,1506,Original Network
0.7500000000000002,431.388506518942,1506,Original Network
0.7500000000000002,369.4582920235098,1506,Original Network
0.7500000000000002,405.80496143539693,1506,Original Network
0.7500000000000002,413.599921708618,1506,Original Network
0.7500000000000002,346.99544384326975,1506,Original Network
0.7500000000000002,409.71199484243016,1506,Original Network
0.7500000000000002,402.9092472788131,1506,Original Network
0.7500000000000002,382.64838249620897,1506,Original Network
0.7500000000000002,373.734506125811,1506,Original Network
0.7500000000000002,426.2801851062726,1506,Original Network
0.7500000000000002,403.2354248658603,1506,Original Network
0.7500000000000002,404.7913661391928,1506,Original Network
0.7500000000000002,394.38985378115865,1506,Original Network
0.7500000000000002,386.3717310239054,1506,Original Network
0.7500000000000002,383.0743806395984,1506,Original Network
0.7500000000000002,359.2420356333404,1506,Original Network
0.7500000000000002,407.351969982405,1506,Original Network
0.7500000000000002,385.51125516342984,1506,Original Network
0.7500000000000002,424.08925648056135,1506,Original Network
0.7500000000000002,387.30975815758467,1506,Original Network
0.7500000000000002,388.94744577353305,1506,Original Network
0.7500000000000002,440.11396824440357,1506,Original Network
0.7500000000000002,422.95299575734384,1506,Original Network
0.7500000000000002,362.748086356782,1506,Original Network
0.7500000000000002,351.8048351744007,1506,Original Network
0.7500000000000002,375.69962533006066,1506,Original Network
0.7500000000000002,360.67311482528896,1506,Original Network
0.7500000000000002,384.80902020032494,1506,Original Network
0.7500000000000002,395.0102716189677,1506,Original Network
0.7500000000000002,383.50480007001806,1506,Original Network
0.7500000000000002,369.35928594624295,1506,Original Network
0.7500000000000002,330.27794756055584,1506,Original Network
0.7500000000000002,388.47694086824595,1506,Original Network
0.7500000000000002,393.14355277398795,1506,Original Network
0.7500000000000002,354.91968126750754,1506,Original Network
0.7500000000000002,399.02030888987474,1506,Original Network
0.7500000000000002,429.37400874357445,1506,Original Network
0.7500000000000002,457.22852235895766,1506,Original Network
0.7500000000000002,355.19320825842556,1506,Original Network
0.7500000000000002,380.5167735819915,1506,Original Network
0.7500000000000002,361.8815332293597,1506,Original Network
0.7500000000000002,388.4161320900456,1506,Original Network
0.7500000000000002,407.6488490401542,1506,Original Network
0.7500000000000002,411.68330753113406,1506,Original Network
0.7500000000000002,348.0124443602705,1506,Original Network
0.7500000000000002,382.94094524529356,1506,Original Network
0.7500000000000002,364.69772830642455,1506,Original Network
0.7500000000000002,368.04635069852515,1506,Original Network
0.7500000000000002,428.5525884221543,1506,Original Network
0.8000000000000003,630.3091249395609,1506,Original Network
0.8000000000000003,592.4166285253248,1506,Original Network
0.8000000000000003,675.7639313943674,1506,Original Network
0.8000000000000003,598.5470939166605,1506,Original Network
0.8000000000000003,606.1631318370462,1506,Original Network
0.8000000000000003,567.1720088459227,1506,Original Network
0.8000000000000003,574.7010285488552,1506,Original Network
0.8000000000000003,619.4107930194901,1506,Original Network
0.8000000000000003,618.0272329185386,1506,Original Network
0.8000000000000003,534.1130064608333,1506,Original Network
0.8000000000000003,553.6527155440207,1506,Original Network
0.8000000000000003,645.1525651308272,1506,Original Network
0.8000000000000003,538.2934604456352,1506,Original Network
0.8000000000000003,543.6493442797798,1506,Original Network
0.8000000000000003,552.152787522354,1506,Original Network
0.8000000000000003,563.0961599439867,1506,Original Network
0.8000000000000003,589.7851712199547,1506,Original Network
0.8000000000000003,624.1597598554139,1506,Original Network
0.8000000000000003,606.8423727119391,1506,Original Network
0.8000000000000003,548.8623434710402,1506,Original Network
0.8000000000000003,575.0415169110829,1506,Original Network
0.8000000000000003,571.7384395862664,1506,Original Network
0.8000000000000003,573.1962428266784,1506,Original Network
0.8000000000000003,582.9343772822041,1506,Original Network
0.8000000000000003,528.3390736651613,1506,Original Network
0.8000000000000003,556.8024866720526,1506,Original Network
0.8000000000000003,607.2367950846223,1506,Original Network
0.8000000000000003,599.3225002355447,1506,Original Network
0.8000000000000003,602.1616592703556,1506,Original Network
0.8000000000000003,563.8481477177138,1506,Original Network
0.8000000000000003,641.4222770309742,1506,Original Network
0.8000000000000003,614.6932233236595,1506,Original Network
0.8000000000000003,586.9430230517196,1506,Original Network
