Method,Average Maximum Flow
Original,71.32706614752867
MaxEI,80.66296875236189
Random,67.03548125743583
MaxOut,66.96755880256015
MinOut,65.94322432142295
MaxBetweeness,63.68103121724999
MaxClustering,63.923890574929324
