Method,Average Maximum Flow
Original,71.45238096577647
MaxEI,80.5089653259327
Random,65.98582300343307
MaxOut,65.98335657587431
MinOut,66.23367837452022
MaxBetweeness,63.31604463363637
MaxClustering,64.00028484915485
