Method,Average Maximum Flow
Original,68.35399010767365
MaxEI,76.84191570876315
Random,62.9073432279229
MaxOut,64.39565927530025
MinOut,62.98059033888027
MaxBetweeness,62.44732997684652
MaxClustering,61.00565461684646
