Method,Average Maximum Flow
Original,69.94738105696719
MaxEI,78.80740070447271
Random,64.74419580884549
MaxOut,64.73939214653447
MinOut,64.47945784842766
MaxBetweeness,60.52953986166326
MaxClustering,60.60801813767186
