Method,Average Maximum Flow
Original,71.86990391205232
MaxEI,81.95702138992542
Random,66.13835709102455
MaxOut,66.45475040258384
MinOut,64.96406171458764
MaxBetweeness,63.50511305606626
MaxClustering,61.94958459358605
