Method,Average Maximum Flow
Original,70.0748922169261
MaxEI,78.57349337253999
Random,64.34718275146237
MaxOut,65.09475193111425
MinOut,64.60884339663075
MaxBetweeness,62.007009078531006
MaxClustering,60.98275373476431
