Method,Average Maximum Flow
Original,72.03853799854055
MaxEI,82.18838838861406
Random,66.48433300955121
MaxOut,66.74289495996489
MinOut,67.0216966976714
MaxBetweeness,65.01412619020387
MaxClustering,62.84378935149288
