Method,Average Maximum Flow
Original,70.01385774917875
MaxPTE,79.3138465937889
Random,64.59172055353746
MaxOut,64.67532441364772
MinOut,63.30199295014494
MaxBetweeness,62.77869280263736
MaxClustering,61.30179406348338
