Method,Average Maximum Flow
Original,70.07688051404777
MaxEI,78.71089905762754
Random,63.354717146599114
MaxOut,62.929178310723685
MinOut,62.929178310723685
MaxBetweenness,61.244683554859556
MaxClustering,60.05224908841494
