Method,Average Maximum Flow
Original,68.60488249977226
MaxEI,77.5335114416974
Random,63.75937924983774
MaxOut,64.16204147003869
MinOut,62.71290300053632
MaxBetweeness,60.79252752142344
MaxClustering,60.53251124699007
