Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.5,0.0,1.9949748743718594
10,0.5,0.0,0.5,0.5,1.5,1.5,7.489949748743719
15,0.5,0.5,1.9949748743718594,0.5,2.0,3.0,12.484924623115576
20,1.5,0.5,5.494974874371859,2.0,5.5,4.0,13.984924623115576
25,3.0,0.5,7.99748743718593,3.5000000000000004,8.0,7.5,17.48241206030151
30,5.5,0.5,12.49497487437186,6.5,12.987437185929648,10.99497487437186,20.972361809045225
35,8.0,1.5,14.989949748743719,9.99497487437186,18.974874371859297,18.482412060301506,22.97236180904523
40,14.000000000000002,3.0,21.98994974874372,17.49497487437186,21.974874371859297,24.48994974874372,24.972361809045225
45,21.49497487437186,4.5,28.97236180904523,25.48994974874372,28.44723618090452,31.982412060301506,28.47236180904523
50,28.492462311557787,8.489949748743719,35.469849246231156,31.49246231155779,35.42211055276382,39.472361809045225,31.474874371859297
55,33.48743718592965,12.984924623115578,38.46482412060301,36.48743718592965,40.414572864321606,45.96482412060301,34.98241206030151
60,39.469849246231156,18.472361809045225,40.97738693467336,42.949748743718594,45.414572864321606,49.96733668341709,41.962311557788944
65,44.994974874371856,24.462311557788947,45.462311557788944,49.99246231155779,48.4321608040201,53.97738693467337,43.97487437185929
70,49.97989949748744,31.447236180904525,49.969849246231156,56.97738693467337,53.92462311557789,57.979899497487445,51.43467336683417
75,52.469849246231156,37.44472361809045,54.949748743718594,59.972361809045225,55.952261306532655,60.48743718592965,55.9321608040201
80,55.50000000000001,42.9572864321608,59.43467336683417,62.98743718592965,59.45226130653266,63.48743718592965,61.437185929648244
85,56.99748743718593,50.45979899497487,63.90954773869346,66.99246231155779,64.67336683417085,66.96733668341709,66.2788944723618
90,60.497487437185924,56.82914572864321,67.42964824120602,72.48994974874373,69.56281407035176,72.96482412060301,69.73366834170854
95,63.994974874371856,61.163316582914575,71.94472361809045,75.98743718592965,72.30653266331657,75.46231155778894,74.2035175879397
100,95.46733668341709,98.25628140703517,95.7035175879397,95.07537688442211,96.5,95.57035175879398,96.46231155778895
