Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.5,0.0,1.0
10,0.5,0.0,1.5,0.5,1.0,1.9949748743718594,6.994974874371859
15,0.5,0.0,2.5,0.5,1.0,2.4949748743718594,11.984924623115578
20,0.5,0.5,5.0,1.0,4.492462311557789,4.984924623115578,12.484924623115576
25,2.9949748743718594,1.4949748743718592,9.987437185929648,3.9949748743718594,9.477386934673367,11.482412060301508,15.984924623115578
30,4.994974874371859,1.4949748743718592,14.477386934673367,6.4949748743718585,12.979899497487438,13.982412060301508,20.979899497487438
35,8.99748743718593,1.4949748743718592,18.979899497487438,10.49748743718593,16.979899497487438,19.474874371859297,22.979899497487438
40,15.99497487437186,1.4949748743718592,27.48241206030151,17.49497487437186,20.974874371859297,27.484924623115575,28.47236180904523
45,23.98994974874372,5.4798994974874375,30.467336683417084,25.98994974874372,27.94472361809045,35.969849246231156,32.969849246231156
50,31.48743718592965,11.469849246231156,34.96733668341708,34.98743718592965,36.43969849246231,44.459798994974875,38.46231155778895
55,36.48743718592965,15.464824120603016,39.45728643216081,42.482412060301506,38.94221105527638,50.95226130653266,43.949748743718594
60,40.98994974874372,20.467336683417088,44.94221105527638,48.484924623115575,47.41708542713568,54.959798994974875,50.43467336683417
65,44.994974874371856,28.452261306532662,49.939698492462306,53.99497487437186,52.922110552763826,57.47738693467337,53.922110552763826
70,48.49246231155779,34.447236180904525,54.92462311557789,58.48743718592965,55.4321608040201,59.97989949748743,57.42462311557789
75,54.49246231155779,40.44221105527638,60.417085427135675,66.98241206030151,59.94221105527638,66.97989949748744,60.424623115577894
80,56.98994974874372,44.937185929648244,63.922110552763826,68.97989949748744,64.43467336683418,69.47738693467336,64.89447236180904
85,61.484924623115575,56.73869346733669,64.9572864321608,71.97989949748744,69.70603015075378,71.97989949748744,68.3894472361809
90,64.98994974874371,60.10301507537689,68.45477386934672,74.47738693467336,74.47236180904522,76.46231155778894,74.88693467336684
95,67.98492462311557,64.4246231155779,73.45979899497488,77.97487437185929,78.80150753768844,77.46231155778894,79.86934673366835
100,91.8819095477387,98.34924623115577,94.67336683417086,93.00502512562814,95.08040201005025,93.12311557788945,96.74874371859296
