Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0,3.492462311557789
10,0.0,0.0,0.0,0.0,2.0,0.0,7.992462311557789
15,0.0,0.0,2.4949748743718594,0.0,2.5,0.0,11.992462311557789
20,2.0,0.0,5.494974874371859,2.5,4.5,3.0,14.487437185929647
25,3.5000000000000004,0.0,10.489949748743719,4.0,8.0,6.5,15.487437185929648
30,7.9949748743718585,0.9949748743718593,14.487437185929647,8.99497487437186,13.987437185929648,12.989949748743717,18.982412060301506
35,9.49497487437186,2.9949748743718594,17.984924623115578,10.49497487437186,17.98241206030151,15.484924623115578,22.477386934673365
40,18.49497487437186,6.489949748743719,26.472361809045225,19.49497487437186,23.472361809045225,27.95979899497488,27.964824120603016
45,26.49246231155779,8.484924623115578,31.474874371859297,27.98994974874372,28.942211055276385,35.962311557788944,30.464824120603012
50,31.97738693467337,12.464824120603014,35.969849246231156,33.9748743718593,33.914572864321606,41.46482412060302,35.95477386934674
55,38.47738693467337,16.464824120603012,42.95226130653266,40.4748743718593,42.38944723618091,46.469849246231156,41.937185929648244
60,42.472361809045225,17.472361809045225,48.93467336683417,45.96482412060301,50.391959798994975,49.47487437185929,49.417085427135675
65,47.98743718592965,26.962311557788944,53.4321608040201,53.47989949748744,52.91206030150754,53.98743718592964,53.90452261306533
70,49.48743718592965,36.447236180904525,56.447236180904525,58.47738693467337,56.891959798994975,59.984924623115575,57.40954773869347
75,52.49246231155779,41.914572864321606,58.93969849246231,63.97989949748744,60.904522613065325,62.98743718592965,61.914572864321606
80,54.48492462311558,46.42964824120603,60.95226130653266,68.96482412060301,68.41457286432161,67.47738693467336,65.91457286432161
85,55.48743718592964,51.44472361809045,64.45226130653266,71.47738693467338,73.22613065326632,69.47989949748744,68.23869346733669
90,57.484924623115575,55.3391959798995,67.44472361809045,75.47738693467336,75.17336683417085,72.48492462311557,70.70854271356784
95,66.98241206030151,59.69597989949749,72.44472361809045,81.47989949748744,79.06532663316584,79.4748743718593,75.65326633165829
100,95.67839195979899,97.78894472361809,97.08291457286433,95.37688442211055,97.31909547738692,94.69597989949749,96.95477386934674
