Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.5,0.0,0.5
10,0.0,0.0,0.5,0.0,1.5,0.5,7.489949748743719
15,0.5,0.0,1.5,0.5,2.5,2.0,11.489949748743719
20,2.0,0.0,5.5,2.5,4.0,6.489949748743719,12.989949748743717
25,3.49497487437186,1.4949748743718592,7.99748743718593,4.494974874371859,6.4949748743718585,9.989949748743719,14.989949748743719
30,9.989949748743719,2.4899497487437188,17.474874371859297,10.989949748743719,12.977386934673365,19.474874371859297,20.98994974874372
35,14.492462311557789,3.4899497487437188,21.987437185929647,15.992462311557789,18.474874371859297,25.47738693467337,24.982412060301506
40,19.49246231155779,5.984924623115577,28.479899497487438,21.492462311557787,22.467336683417084,31.979899497487434,30.459798994974875
45,26.987437185929647,7.984924623115577,33.482412060301506,28.487437185929647,30.44221105527638,37.97738693467337,34.45728643216081
50,33.48492462311558,12.974874371859297,39.4748743718593,35.48241206030151,38.92713567839196,43.97487437185929,39.41959798994975
55,38.47989949748744,20.457286432160803,45.962311557788944,42.969849246231156,44.417085427135675,46.482412060301506,43.42462311557789
60,43.459798994974875,26.44221105527638,47.95226130653266,49.97738693467337,50.902010050251256,50.962311557788944,46.434673366834176
65,45.992462311557794,29.44221105527638,53.947236180904525,53.49246231155779,54.39949748743719,51.47738693467336,51.41959798994975
70,48.49497487437186,38.052763819095475,57.44472361809046,56.99497487437186,59.80653266331658,56.9572864321608,60.391959798994975
75,52.982412060301506,43.01005025125628,61.4321608040201,61.48743718592965,65.73869346733669,62.94723618090452,60.40954773869347
80,56.98743718592964,49.44221105527638,63.93467336683417,66.47989949748744,69.70100502512562,67.4572864321608,64.39447236180904
85,62.48492462311558,55.32412060301507,64.9572864321608,71.96482412060301,72.27638190954774,73.45477386934674,71.39949748743719
90,64.99497487437186,58.7286432160804,66.96984924623116,75.98241206030151,75.1859296482412,76.91206030150754,74.39195979899498
95,69.98743718592965,63.0929648241206,71.95477386934674,79.47989949748744,77.62311557788945,80.94723618090453,78.89949748743719
100,95.91708542713567,98.39949748743719,94.34673366834171,94.46482412060303,97.68341708542714,94.2286432160804,97.23115577889448
