Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.5,0.0,1.9949748743718594
10,0.5,0.0,2.0,0.5,2.0,0.5,5.494974874371859
15,1.0,0.0,4.5,1.0,3.0,1.0,10.989949748743719
20,2.5,0.5,6.0,2.5,4.5,2.5,14.989949748743719
25,3.0,0.5,10.5,3.0,8.49497487437186,5.994974874371859,16.484924623115578
30,8.5,2.0,17.99497487437186,8.5,13.489949748743719,12.49497487437186,19.479899497487438
35,12.99497487437186,2.5,23.49497487437186,13.49497487437186,15.984924623115578,17.479899497487438,21.979899497487438
40,18.99246231155779,5.494974874371859,27.49246231155779,19.98994974874372,20.962311557788947,26.977386934673365,25.474874371859297
45,23.992462311557787,8.489949748743719,34.482412060301506,25.48994974874372,27.954773869346734,31.984924623115578,28.462311557788944
50,31.99246231155779,15.969849246231155,40.972361809045225,34.49246231155779,32.45226130653266,40.984924623115575,35.45226130653266
55,40.97989949748744,21.449748743718594,45.96733668341709,44.47738693467337,41.92211055276382,50.47738693467336,42.42964824120603
60,46.984924623115575,29.42964824120603,48.9572864321608,49.982412060301506,49.90954773869347,54.48492462311558,49.417085427135675
65,49.99497487437186,30.43718592964824,51.95979899497487,54.48994974874372,55.404522613065325,56.48994974874372,55.41708542713568
70,52.494974874371856,35.927135678391956,53.45477386934674,59.484924623115575,57.40954773869347,59.97989949748743,59.41206030150754
75,55.98241206030151,44.92713567839196,58.947236180904525,63.97989949748744,64.90452261306532,63.47989949748744,61.92211055276382
80,58.484924623115575,50.94472361809045,64.94221105527637,67.48492462311559,70.20854271356784,67.48241206030151,66.93718592964825
85,62.48492462311558,55.30904522613065,69.25376884422111,72.4824120603015,74.73618090452261,71.47989949748744,69.73869346733669
90,63.489949748743726,59.58291457286432,71.2286432160804,73.98743718592965,78.54522613065326,73.47236180904522,74.44221105527639
95,65.99246231155779,63.38693467336684,72.23618090452261,78.97236180904522,79.04020100502512,75.98241206030151,78.83417085427136
100,98.19597989949749,98.69849246231156,98.73115577889448,99.39195979899498,98.49497487437185,99.1608040201005,98.4145728643216
