Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,1.0,0.0,1.4949748743718592
10,0.5,0.0,2.0,0.5,4.484924623115578,1.0,5.494974874371859
15,1.0,0.0,3.0,1.0,6.4798994974874375,2.9949748743718594,7.489949748743719
20,2.9949748743718594,1.4949748743718592,7.489949748743719,2.9949748743718594,7.479899497487437,5.489949748743719,11.982412060301508
25,3.49497487437186,1.9949748743718594,9.987437185929648,3.49497487437186,12.472361809045227,6.98994974874372,15.982412060301506
30,5.994974874371859,2.4949748743718594,14.979899497487438,5.994974874371859,18.457286432160807,10.489949748743719,19.982412060301506
35,13.489949748743719,4.984924623115578,20.477386934673365,13.989949748743719,20.952261306532662,20.984924623115578,25.474874371859297
40,20.48743718592965,5.484924623115578,29.479899497487438,20.987437185929647,24.452261306532662,31.47738693467337,29.474874371859293
45,24.98994974874372,7.479899497487437,35.462311557788944,25.98994974874372,27.94472361809045,37.96733668341709,35.93969849246231
50,29.484924623115578,12.698492462311558,40.447236180904525,31.982412060301506,31.914572864321606,42.47487437185929,39.891959798994975
55,35.48994974874372,18.776381909547737,46.447236180904525,38.48994974874372,38.06030150753769,48.47989949748744,43.49497487437186
60,40.462311557788944,26.198492462311556,50.449748743718594,43.472361809045225,42.5251256281407,51.969849246231156,48.42964824120603
65,45.98994974874372,30.158291457286435,54.447236180904525,51.482412060301506,48.46733668341708,57.979899497487445,53.37185929648241
70,48.99246231155779,33.321608040201006,56.452261306532655,55.97738693467337,54.85175879396985,60.47989949748743,58.72613065326633
75,53.48994974874371,39.653266331658294,60.26130653266332,64.47989949748744,60.243718592964825,64.48492462311557,62.31909547738693
80,55.98994974874372,44.07537688442211,62.35175879396985,70.47738693467338,64.15075376884423,69.96984924623115,67.2713567839196
85,56.49748743718593,50.97236180904523,63.836683417085425,73.98492462311557,69.67839195979899,70.9824120603015,74.25125628140702
90,61.98743718592965,54.82663316582914,68.28643216080403,77.49748743718592,73.03015075376884,74.98492462311557,78.5251256281407
95,64.98994974874371,59.16834170854271,71.23869346733669,78.99748743718592,75.9321608040201,78.46733668341709,79.96482412060301
100,96.7035175879397,98.67085427135679,97.62060301507537,98.01758793969849,97.97738693467338,97.93718592964824,97.87688442211055
