Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.5,0.0,2.9899497487437183
10,0.0,0.0,1.0,0.0,2.0,0.5,6.484924623115577
15,0.0,0.0,2.9949748743718594,0.0,3.9899497487437188,0.5,9.984924623115578
20,1.5,0.0,4.494974874371859,1.5,5.489949748743719,2.9949748743718594,12.984924623115578
25,3.9949748743718594,0.9949748743718593,8.489949748743719,3.9949748743718594,7.989949748743719,6.992462311557788,16.984924623115578
30,8.492462311557789,1.9899497487437185,12.489949748743719,9.987437185929648,13.97989949748744,13.484924623115576,21.984924623115578
35,9.492462311557789,2.4899497487437188,18.472361809045225,10.987437185929648,18.479899497487438,17.979899497487438,22.984924623115578
40,14.994974874371858,3.9899497487437188,24.967336683417084,16.992462311557787,24.964824120603016,26.974874371859297,27.477386934673365
45,21.484924623115578,6.9798994974874375,31.457286432160803,23.484924623115578,30.452261306532662,35.45728643216081,31.967336683417084
50,31.484924623115578,10.969849246231156,37.449748743718594,34.98241206030151,35.447236180904525,45.969849246231156,35.94974874371859
55,36.982412060301506,19.457286432160803,40.459798994974875,40.97989949748744,38.44723618090452,48.97989949748744,39.94472361809045
60,42.49246231155779,22.44723618090452,44.959798994974875,49.982412060301506,40.44221105527638,53.49246231155779,44.44221105527638
65,44.48994974874372,25.94221105527638,50.929648241206024,54.97738693467337,43.91959798994975,57.48994974874372,50.924623115577894
70,48.48743718592965,34.09045226130653,56.36180904522613,60.482412060301506,52.88693467336684,59.98743718592965,57.83417085427136
75,53.98994974874371,40.04773869346734,58.86180904522613,66.48743718592965,59.81909547738693,64.97738693467336,62.29396984924623
80,58.484924623115575,46.96482412060302,64.80150753768844,68.98743718592965,67.22361809045226,67.96984924623115,68.21356783919597
85,61.989949748743726,55.753768844221106,69.76381909547739,70.99246231155779,71.53266331658291,69.47236180904522,72.05778894472363
90,62.989949748743726,60.005025125628144,73.21105527638191,73.49246231155779,76.1859296482412,71.9748743718593,75.42713567839195
95,67.48994974874371,64.7035175879397,76.17587939698493,75.99497487437186,79.91708542713567,76.47236180904522,79.75376884422111
100,99.68090452261306,99.55276381909547,99.66331658291458,99.70854271356784,99.80653266331659,99.74371859296483,99.7713567839196
