Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,1.0,0.0,0.0,0.0,4.0
10,0.0,0.0,2.5,0.0,1.5,0.0,6.99748743718593
15,0.5,0.0,3.0,0.5,1.5,1.0,10.49748743718593
20,1.5,0.0,5.0,1.5,1.5,2.5,11.99748743718593
25,3.0,0.0,8.0,3.0,5.989949748743719,4.5,16.49246231155779
30,4.0,0.5,12.49497487437186,4.0,8.989949748743719,6.49748743718593,20.984924623115578
35,6.5,1.5,14.989949748743719,7.5,13.97989949748744,10.492462311557789,23.479899497487438
40,12.49497487437186,3.0,21.487437185929647,14.494974874371861,17.467336683417088,20.48743718592965,28.969849246231156
45,19.48994974874372,3.5000000000000004,26.479899497487438,21.48994974874372,23.94723618090452,28.48241206030151,32.949748743718594
50,24.99246231155779,3.5000000000000004,30.974874371859297,28.487437185929647,29.932160804020103,35.97989949748744,36.44221105527638
55,33.492462311557794,7.484924623115578,35.972361809045225,39.48994974874372,34.92964824120603,44.97989949748744,41.4321608040201
60,39.462311557788944,14.964824120603016,41.947236180904525,44.45477386934673,41.391959798994975,50.95226130653266,45.4321608040201
65,44.48743718592964,23.93969849246231,47.969849246231156,51.48492462311558,45.93718592964824,56.48241206030151,50.91959798994975
70,46.49246231155779,29.42713567839196,52.95226130653267,56.97738693467337,52.42964824120603,57.98743718592965,55.89949748743719
75,51.49246231155779,35.924623115577894,58.94472361809046,62.99246231155779,61.417085427135675,61.494974874371856,57.41206030150754
80,52.99246231155779,41.43969849246231,61.95728643216081,65.49246231155779,64.92964824120602,63.489949748743726,59.42713567839196
85,55.48994974874372,45.94472361809046,66.9321608040201,70.48492462311557,68.4321608040201,66.97989949748744,64.87688442211055
90,61.997487437185924,53.46733668341709,69.95979899497488,73.99246231155779,72.43969849246231,70.98994974874373,67.93467336683418
95,66.98994974874371,58.96231155778895,72.96482412060301,78.48994974874371,75.43969849246231,77.47989949748744,73.44221105527639
100,94.89195979899498,98.06281407035175,94.42462311557789,94.89949748743719,96.38442211055276,94.93718592964824,96.64824120603015
