Deficit thresholds,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,4.0
10,0.5,0.0,1.0,0.5,2.9924623115577886,0.5,7.992462311557789
15,0.5,0.5,1.5,0.5,4.992462311557789,1.4949748743718592,10.487437185929648
20,1.0,0.5,5.994974874371859,1.5,5.989949748743719,2.9949748743718594,13.477386934673365
25,2.0,0.5,7.494974874371859,2.5,7.989949748743719,4.99748743718593,14.477386934673367
30,4.994974874371859,0.5,12.482412060301508,5.494974874371859,11.479899497487438,10.49497487437186,20.972361809045225
35,5.994974874371859,1.4949748743718592,16.469849246231156,6.4949748743718585,13.977386934673367,14.487437185929647,23.45979899497487
40,9.992462311557789,2.4949748743718594,21.974874371859297,10.992462311557789,18.469849246231156,19.98743718592965,26.959798994974875
45,18.99497487437186,3.49497487437186,26.47738693467337,19.992462311557787,25.44221105527638,31.949748743718594,31.457286432160803
50,26.494974874371856,4.989949748743719,32.962311557788944,28.49497487437186,30.93467336683417,40.44472361809045,36.447236180904525
55,36.484924623115575,13.452261306532664,37.462311557788944,39.48492462311558,40.404522613065325,48.469849246231156,43.42964824120603
60,40.9748743718593,16.947236180904525,44.42462311557789,45.969849246231156,43.89949748743718,50.969849246231156,47.427135678391956
65,44.98743718592964,21.44221105527638,46.447236180904525,50.98492462311558,49.89447236180904,56.97738693467337,50.417085427135675
70,48.48743718592965,27.439698492462313,51.9321608040201,55.97989949748744,53.90703517587939,59.97989949748743,53.90954773869346
75,53.449748743718594,34.44221105527638,56.92462311557789,62.48743718592965,58.92211055276382,62.989949748743726,58.417085427135675
80,55.49748743718593,39.93969849246231,63.4321608040201,68.48492462311557,66.89195979899498,66.49246231155779,65.37939698492463
85,57.99999999999999,47.969849246231156,67.28391959798995,73.98743718592965,71.9824120603015,69.98994974874371,69.68090452261306
90,59.0,53.89195979899497,71.2462311557789,77.48743718592965,75.90954773869348,71.9824120603015,71.68592964824121
95,63.489949748743726,58.733668341708544,75.19095477386935,80.48994974874371,78.10804020100502,75.98241206030151,73.16834170854271
100,93.64572864321607,97.35175879396985,94.34673366834171,94.85678391959799,96.32412060301507,94.30402010050251,96.2035175879397
