Alpha,MaxNI,Random,LowestDegree,MaxClustering
0.5,8.20793520730464,28.19397546827944,23.946054791186224,17.96122382407214
0.55,10.219433061170019,40.9521129592195,37.74815559216579,27.460875662956564
0.6000000000000001,14.058490434509181,58.22746864312333,57.07369998288144,42.254823195598505
0.6500000000000001,17.735887551415274,83.83268295840865,84.15637366377777,67.13186120364247
0.7000000000000002,27.480288139522848,122.03313450281524,128.41880777771746,102.72131467950702
0.7500000000000002,42.37653350060994,173.969849213157,193.75896487039955,157.76127659667264
0.8000000000000003,70.47545380018747,253.41476351594753,279.97272507093186,236.16816157796492
0.8500000000000003,121.29216714462068,365.20702842461486,402.84642600680417,339.9019956760107
0.9000000000000004,201.97654390877975,508.010564540218,563.4026574027579,488.70831534919023
0.9500000000000004,342.3379496037758,708.7005949686127,760.4221771347544,683.8271109018384
