Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.012936046511628056,0.0,0.009593023255814022,0.0,0.04267083966343382
10,0.0,0.0,0.025290697674418473,0.0,0.023101791619233383,0.008062015503876018,0.11250626642454924
15,0.0,0.0,0.03646918627124834,0.0,0.055777712813947306,0.012296511627907018,0.1923608899775727
20,0.0039533528487016795,0.0,0.06456175412760601,0.0039533528487016795,0.08698396513112563,0.022936290794243273,0.2744959231165256
25,0.02805875336223331,0.007277750880649203,0.10892062687376562,0.02805875336223331,0.12804680985125316,0.057095264977773875,0.34919786741700815
30,0.07093389118704717,0.01820696982778176,0.17116611397880724,0.07537648975360882,0.19492638602228166,0.12206252051602205,0.4388126363629506
35,0.119767944752698,0.02908384803521849,0.24499193990925233,0.13299881146326345,0.26616179134034823,0.20107793051813724,0.5220637026371089
40,0.17571607903275915,0.04491909619991876,0.3387083854493404,0.19653587194484326,0.3496904826482735,0.3069685291249342,0.5972171379780793
45,0.24255459487014408,0.06386334670873661,0.44099803803377946,0.2714362351417519,0.45007172610507706,0.4296695452058677,0.6828898243748297
50,0.3327476644295018,0.09751697888250033,0.5496151284419923,0.3703897459807994,0.5569365167520439,0.5686622284682796,0.7737631486345695
55,0.4473008985410087,0.15302971011005756,0.6644555122083595,0.4952277114244024,0.6607133412974902,0.720974450853443,0.8677886981477246
60,0.5636189732664253,0.2211646265972063,0.7746917221812555,0.6299141215981795,0.7594358807728367,0.8632355314661869,0.9645055710693697
65,0.6772173357290969,0.29115327429335053,0.890025833451011,0.7719614839490273,0.8521293753787171,1.00092181835101,1.0683509387788335
70,0.7879283023968009,0.36845601048433274,1.0114786948365047,0.9132276093457559,0.9555119500574586,1.132192074178555,1.179880719671476
75,0.895051498390148,0.4612244797459064,1.1275412819413235,1.0524651578429896,1.068100305593656,1.255762750610249,1.2918306450480932
80,1.0051203321421363,0.5610561890725975,1.2417283204080147,1.1893759074968202,1.1900495650465175,1.375831845887751,1.4072249485435104
85,1.1157810391226077,0.6710244875516876,1.3594357378836155,1.3170478126655278,1.3153009656045649,1.4902643383253282,1.5238624160361798
90,1.22190338506937,0.7882656999949291,1.4744538703445929,1.4378310289858387,1.4416695717728936,1.598059829183269,1.637861015956013
95,1.3249012044466038,0.9037792283028712,1.588905281840053,1.5534885686198094,1.563350596161206,1.704600616565927,1.7490959096340768
