Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0052536231884057994,0.0,0.03364181154218318
10,0.0,0.0,0.0,0.0,0.026459627329192725,0.0,0.12559704723294454
15,0.0,0.0,0.01302254023741921,0.0,0.04615812629399581,0.0,0.22574176307694213
20,0.0078387393604785,0.0,0.049172128759741106,0.010318035426731072,0.07111042097998646,0.011984702093397744,0.31220094202319754
25,0.03188099072157095,0.0,0.1102464685208101,0.03811373744344819,0.10269381182424626,0.04366929299900349,0.38439851036101824
30,0.06624623041263655,0.00029902544369289874,0.18303109173657725,0.07562585182641955,0.16573779088019522,0.1037431092165951,0.45160009931678113
35,0.11222033397086623,0.0077694914357849445,0.2622111510075134,0.12667750270792755,0.24427374175339508,0.18137113130640903,0.5251436989265444
40,0.17639354146187822,0.03511780684728764,0.35535828055237445,0.19479991367259777,0.3337302268056265,0.28115536434055116,0.6075952250581502
45,0.27147526538836764,0.0709256574452669,0.46587616105602064,0.29468800784461097,0.43295322107431666,0.4133285940283322,0.6922129632519719
50,0.3791388323237735,0.11081298854731331,0.5761540004957917,0.40788643901271215,0.5373265813035273,0.5538383173684486,0.7824354004373748
55,0.4947238630176247,0.16159921969135616,0.6957485109775342,0.529068093949131,0.6505228696970164,0.6945006067065665,0.8787987010140872
60,0.6090023959403366,0.21400955623972956,0.8183987708534092,0.650454866971676,0.7777909141449989,0.822887041647702,0.989781189707455
65,0.7250555892859473,0.2777477744551046,0.9424346755549432,0.7785664559198766,0.9064394640312305,0.9466813540409134,1.1040623710339605
70,0.8408035234064771,0.36534447619585275,1.0632372278538482,0.9146326789611089,1.0305371510955992,1.0737978657569809,1.21449810512582
75,0.9479144171657831,0.46472264578729244,1.1776589969415008,1.048139382969913,1.1497990188173943,1.1984254673196284,1.326318187476752
80,1.049761871441974,0.5685633563016663,1.2833851902375772,1.181550282094285,1.2724995282506397,1.3203430395050355,1.4344551948909043
85,1.143852934283951,0.6720315176257105,1.3871649975653348,1.3101192690249281,1.3958006335065043,1.4375414205513823,1.5402331494911146
90,1.2321820909725985,0.7754888917058743,1.4866075247169115,1.4338856228888484,1.5187248320106062,1.5483078475203897,1.6417936086910365
95,1.3280019323960917,0.8795384703307035,1.5864763781814533,1.5596191412549603,1.6347025404801512,1.6609350499333753,1.7406224005928692
