Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.009434865900383144,0.0,0.0,0.0,0.046999914221994406
10,0.0,0.0,0.0385675390607628,0.0,0.013296146979025869,0.0,0.1238953188069827
15,0.00020354406130270063,0.0,0.06040713577705372,0.00020354406130270063,0.028722110234269158,0.0033285440613026822,0.19335088683637963
20,0.009836490780906735,0.0,0.08950146901382011,0.009836490780906735,0.037977688187415544,0.01974389818831418,0.2664335016495031
25,0.030929945831730168,0.0,0.1258176866149924,0.030929945831730168,0.05868380429055893,0.04751945200456992,0.3310611571378918
30,0.05012249325259472,0.0012246852764094273,0.18456242800424869,0.05012249325259472,0.10161995585772479,0.07992010185494072,0.4184082238523592
35,0.0754598133836096,0.007390451784591051,0.24716645978454233,0.07941289026112655,0.16097497321924673,0.12199990726981023,0.5027870569825399
40,0.1132218506006842,0.019626808823783894,0.31996257197553235,0.12270011986979892,0.22738882247586714,0.1870004460152361,0.5869825405598013
45,0.18266085948546787,0.03379660657388434,0.40658589839418674,0.20119130182766815,0.2998141922188793,0.29090796427260596,0.6792618216549184
50,0.261552658788434,0.04663327870353116,0.49384910583060365,0.28903147917126965,0.3956265558090966,0.40214357428201963,0.772710529400033
55,0.37014658787671356,0.06498513037428953,0.5948290143831505,0.4166405607842321,0.5002027770195975,0.544878135025418,0.8703185438752638
60,0.479991377361249,0.10069332875249795,0.6959675239753753,0.5435434874942751,0.6096820235039204,0.686603333550347,0.9691838215206232
65,0.5959385104582386,0.16367754494830541,0.8082154096595503,0.6763850735227656,0.7233183847110078,0.830524797838235,1.0708212196627436
70,0.7071795522941721,0.24251585624106087,0.9214763397238166,0.8104850906231007,0.8395974660999389,0.965900417890308,1.1785152726565373
75,0.814005386471956,0.3269593174397135,1.0383600003800166,0.9489528164499318,0.9605818638970166,1.0894119369565594,1.2819908967593425
80,0.9196112068158054,0.42194852749023526,1.1540995105157907,1.081192697311052,1.0910671018335065,1.2078777066814337,1.3772042765422252
85,1.0217695175582477,0.5215313817292888,1.269812128157708,1.2124376836346547,1.2163907871353492,1.3249857718903035,1.4714022413556072
90,1.1223428299945448,0.6245051651569723,1.3827422888035024,1.3402603145910883,1.337397459029483,1.4368438803235322,1.5686902462143042
95,1.2280670760019712,0.7339221918653289,1.4920612371158957,1.4650197925029902,1.456444533542379,1.5534997816699228,1.6680473790659158
