Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.017753623188405874,0.0,0.005030657748049086
10,0.000610500610500632,0.0,0.000610500610500632,0.000610500610500632,0.03680124223602463,0.000610500610500632,0.07056171270285419
15,0.006707875457875479,0.0,0.012931995540691273,0.006707875457875479,0.07102187558272342,0.022238654352347936,0.17264421803707858
20,0.011307134894091539,0.0022710622710623,0.03946267156240993,0.011307134894091539,0.11018338621299181,0.048131728878506315,0.2604941679833557
25,0.02290426964340012,0.006059218559218559,0.08777856352331953,0.02290426964340012,0.15285186228817604,0.07429913648970908,0.33653392598225246
30,0.05523225739064203,0.008765044479330197,0.1425276223078109,0.06151747674384146,0.20611371335504564,0.1302506278587787,0.40607947924085563
35,0.10348409599194863,0.010794413919413947,0.205626304803027,0.11833301384727118,0.26868417853479626,0.20187223882828412,0.4753106131633347
40,0.15834575143875487,0.017723540549627402,0.2852271509499687,0.17986416418340792,0.3267522078972505,0.2985909505101488,0.5531362528963027
45,0.23800175978950783,0.03130966647025162,0.3787763053286928,0.26583005339161925,0.4072501445948049,0.4198253277807574,0.6381742096359457
50,0.3312638373162389,0.06259107448651856,0.4797935632405412,0.37016438746159736,0.5030942799760126,0.5433147985779193,0.7222427583451188
55,0.43912748163580917,0.11201628626211012,0.5928301129285739,0.4883623264283278,0.6015955565334087,0.673137613207117,0.8074353928688143
60,0.5530707705514456,0.17887585446753107,0.7112641389448432,0.6140581552529163,0.7058528746770435,0.8050603134850899,0.8968125822645066
65,0.6699978153186941,0.25153846245223754,0.8280935510331673,0.744499610575454,0.8068802048624789,0.9341052484558913,0.9913397888529779
70,0.7821751133620513,0.3387914237058976,0.9445239337209009,0.8744938348496422,0.9127257726615491,1.0634033055608376,1.092121055430886
75,0.888070801098421,0.4302862614567651,1.0670214956105926,1.002447099016224,1.0241793834260986,1.181255705387063,1.1945533148908847
80,0.990301293723143,0.5225333594821148,1.1836243078900337,1.1306737103012663,1.1398896494106323,1.2923814299293532,1.3012903712938277
85,1.0874188682571098,0.6185572320404099,1.2982933886527883,1.2587098643068784,1.2568569413543302,1.4048843475472879,1.4071172973685886
90,1.1789905818001822,0.7185552457449661,1.4091271546452668,1.382987617505744,1.3754986086266132,1.5213844403899588,1.510668920186682
95,1.2689600818336544,0.8242952554206704,1.5167801264080938,1.5032822955786884,1.492239422455773,1.635857198378393,1.6126339493232926
