Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0,0,0,0,0,0,0
5,0,0,0,0,0.008768657,0,0.023884843
10,0.00723466,0,0.00723466,0.00723466,0.014796117,0.015330305,0.104312878
15,0.011675995,0.00460199,0.021019588,0.011675995,0.034174011,0.038287259,0.204876949
20,0.015227595,0.008681592,0.059826592,0.017410853,0.061691454,0.061516606,0.300809629
25,0.034519277,0.011401327,0.107754343,0.040505326,0.109733394,0.095119807,0.381630961
30,0.063412361,0.013343994,0.170495231,0.073344508,0.171480617,0.150146221,0.465345878
35,0.099545672,0.016534359,0.231577219,0.115283557,0.246744428,0.218334157,0.544839483
40,0.151411233,0.025968602,0.305830681,0.181856025,0.336048756,0.316618052,0.615538275
45,0.21870477,0.042029427,0.398188959,0.26671713,0.423724249,0.424338006,0.68777824
50,0.311455917,0.067612888,0.504369911,0.370622598,0.528100901,0.54536774,0.763457149
55,0.414798376,0.104874362,0.617727395,0.481164328,0.641019855,0.679539238,0.838435536
60,0.521650877,0.15767094,0.723752788,0.594954181,0.760224589,0.811799524,0.921414868
65,0.635341907,0.22387753,0.827816134,0.71766533,0.87327232,0.939300707,1.009369007
70,0.750209461,0.301225845,0.931063173,0.846836213,0.98033955,1.060839865,1.098735534
75,0.861432006,0.389100777,1.038565398,0.974702537,1.090242617,1.178164027,1.197877807
80,0.970153743,0.480923159,1.146117564,1.098642915,1.195277317,1.292481394,1.300785176
85,1.072330316,0.583570394,1.250658702,1.218362268,1.301008347,1.402079455,1.405064024
90,1.169749021,0.694324286,1.357799284,1.338170905,1.408863757,1.512508342,1.509693694
95,1.267850279,0.809019117,1.462984379,1.455976772,1.515927068,1.621580541,1.613752677
