Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0025,0.0,0.018419913419913527
10,0.0019190685857352733,0.0,0.008643455310121981,0.0019190685857352733,0.0175,0.01739645552040868,0.09384240983905816
15,0.007689301439301457,0.0,0.033010369260369515,0.007689301439301457,0.025625000000000002,0.041109527569954805,0.19233223760234755
20,0.011151441151441144,0.002302882302882328,0.06537455137455021,0.013151441151441167,0.04641865685159799,0.06257140570526465,0.2777667604509536
25,0.019738560496517014,0.007521086612376546,0.10890250871406591,0.02561819012614677,0.0873332312744177,0.11090025250468429,0.34807105895948703
30,0.04481434567400129,0.017125037627550202,0.18543388845075437,0.059695298054953154,0.15467601423687302,0.18627590285033752,0.4250569841030253
35,0.08183854278595175,0.02432800088893076,0.2631300866575937,0.10423437611928439,0.22973655800749027,0.26546612935205344,0.5099936773938646
40,0.14717890701785472,0.02993030564778208,0.364916743090445,0.1754196477585958,0.3071217815651631,0.3677274603864149,0.5937957479777702
45,0.23472450375600426,0.04331128112855704,0.47048326967288684,0.26870366348516944,0.39535975101994797,0.49493767659366816,0.6910846280733124
50,0.33715261103362226,0.07744072312234682,0.5805247998977059,0.38291373456120326,0.5014244878367465,0.6315541996290027,0.7862696887563482
55,0.450906633032903,0.12442871183391681,0.6884351391779516,0.5135418895273649,0.6178829973088428,0.7789462584354712,0.891949850992842
60,0.5637008833416968,0.18502752073853232,0.7980803497686697,0.6461256706772024,0.7373190231479567,0.9222185331844351,1.0028870703168329
65,0.6780541062416411,0.26001623484013026,0.9105844296550549,0.783230238577618,0.8641247486515835,1.057848524140325,1.1163685511600874
70,0.7895948713699894,0.35030643647453596,1.0241676631158976,0.9181899333020529,0.9866294341682071,1.1840870902085314,1.2278506326821934
75,0.8997858582326383,0.4448084964081224,1.1417371684287303,1.0536852824929719,1.1038588605885336,1.3088034594885156,1.3345650698825517
80,1.0108949128700808,0.5434606505541588,1.2588009438302752,1.192382011953741,1.2223609187637645,1.4338075573374292,1.4415967067839321
85,1.1186290382154471,0.6542260599655297,1.3685127816240676,1.3218747374902742,1.3403419424137717,1.550374658873996,1.5472839837196417
90,1.2256511289146106,0.7752408498914902,1.4716283912800516,1.4444785662631119,1.4561621128186804,1.664406389920396,1.6541867415809761
95,1.3304553372150576,0.8928218924030351,1.575019714585123,1.5639748087137848,1.5755796252801868,1.7744212143982698,1.765216242236429
