Demand,Original,MaxPTE,Random,MaxOut,MinOut,MaxBetweeness,MaxClustering
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.013965744400527,0.0,0.015543378950086461
10,0.0019055287171229399,0.0,0.016100619723808333,0.0019055287171229399,0.049192137430430105,0.0019055287171229399,0.07174461091874187
15,0.013003220611916375,0.0,0.04263102034841148,0.013003220611916375,0.10149485947156427,0.02560267622330618,0.12978722572752396
20,0.02554225579241966,0.003864086940337803,0.0822011236726107,0.02554225579241966,0.15180604803719952,0.05785271380639497,0.2011263737072098
25,0.05038194541872329,0.01861029516881231,0.14225299372092834,0.05038194541872329,0.21234066924748163,0.10330769932856307,0.27756311016361035
30,0.07608715544356379,0.03207635832717755,0.20934143911999276,0.07608715544356379,0.2885720041686202,0.15241458330584257,0.36901172716975117
35,0.1199923386525543,0.05067946966570515,0.29044830069791694,0.12273237488443892,0.3748923234984747,0.2236503630085002,0.47106411628957584
40,0.19881457415110007,0.07496492099094398,0.39511941841433873,0.20402793969055283,0.4589262042588541,0.3395896575356643,0.5713327699475392
45,0.29254470601013327,0.10262742992205476,0.5179515381506544,0.2999380232404066,0.5430496629844004,0.48043373774367254,0.675280879926145
50,0.3906409154904797,0.13798947127522002,0.6441343762599702,0.40375899637947926,0.6249760019242391,0.6166701067177075,0.784114874922949
55,0.4965380389068513,0.19301097626738828,0.772923646117333,0.519448162140144,0.7213045773399488,0.7578834182659837,0.8937276567158563
60,0.6035993930248125,0.26845893083604305,0.8998663454502944,0.6358440879797926,0.8199986955202981,0.8951554320464473,1.0011921524894356
65,0.7134516728845409,0.3490188651041556,1.0229385727450917,0.7562864367547941,0.9240383642284183,1.0254190046174367,1.1119323280597717
70,0.8249441119372495,0.43171469884366226,1.1392093222244046,0.8854014133098038,1.0363576685212077,1.154240642866232,1.2246869874744921
75,0.9328087987521587,0.5165748454896506,1.248709412119702,1.01544405306012,1.1511357098568102,1.277501863752082,1.3374088061656417
80,1.0393074556354527,0.6115082350893798,1.3568390026963166,1.1538530340643542,1.2660848684453143,1.3974113241869786,1.4492653765314878
85,1.1378420285850321,0.7071464382570118,1.4564083122477225,1.290965526042321,1.3815128992447006,1.5158790972718534,1.5631623029415256
90,1.2330360582160598,0.8077232210215576,1.5524785597255957,1.4219069471982788,1.4962068939139797,1.629549736994559,1.682191894711349
95,1.3308784740908899,0.9097413111077889,1.6500874236371277,1.5476913505982164,1.6062600498965838,1.740606440771907,1.7959652723722235
